birthplace,country
Armagh City,Ireland
Co Tippy,Ireland
L Derry,Ireland
County Fermanagh,Ireland
City Kilkenny,Ireland
"Newry, Co Down",Ireland
"Ireland, Co Down",Ireland
"Co Down, Ireland",Ireland
Co Donegall,Ireland
Dublin County,Ireland
Co West Meath,Ireland
King's County,Ireland
Galway City,Ireland
Co Queens,Ireland
City of Waterford,Ireland
County Longford,Ireland
Kings,Ireland
C Cork,Ireland
Tipperary Co,Ireland
Limerick Co,Ireland
Co of Cork,Ireland
France,France
"Birr, Kings County",Ireland
Co Tipperay,Ireland
County Tipp,Ireland
Co Roscomon,Ireland
L Derry City,Ireland
Co Kilkeny,Ireland
Germany,Germany
Australia,Australia
Kilkenny Co,Ireland
County Westmeath,Ireland
Dundalk,Ireland
Antrim Co,Ireland
Galway Co,Ireland
"Ireland, Co Cork",Ireland
County of Dublin,Ireland
Newry,Ireland
"Ireland, Co Antrim",Ireland
U S America,United States
Co Tippreary,Ireland
Coy Down,Ireland
"Belfast, Ireland",Ireland
"Cork, W R",Ireland
"Kingstown, Co Dublin",Ireland
"Co Antrim, Ireland",Ireland
"Co Cork, Ireland",Ireland
C Derry,Ireland
County of Antrim,Ireland
C Tyrone,Ireland
C Armagh,Ireland
City Derry,Ireland
Canada,Canada
Wexford Co,Ireland
County Londonderry,Ireland
"Carrickfergus, Co Antrim",Ireland
"Drogheda, Co Louth",Ireland
Mayo Co,Ireland
City of Londonderry,Ireland
Kildare Co,Ireland
"Newtownards, Co Down",Ireland
Q County,Ireland
"New Ross, Co Wexford",Ireland
Kings Coy,Ireland
Kingstown,Ireland
Co Tippery,Ireland
Cork W R,Ireland
Co Roscom,Ireland
Kerry Co,Ireland
"Kinsale, Co Cork",Ireland
Co Fermangh,Ireland
"Lurgan, Co Armagh",Ireland
Manchester,England
Galway Town,Ireland
Wicklow Co,Ireland
Co of Mayo,Ireland
County of Down,Ireland
C Donegal,Ireland
County Limk,Ireland
Coy Antrim,Ireland
City of Armagh,Ireland
Co Letrim,Ireland
Sligo Co,Ireland
Wexford Town,Ireland
Coleraine,Ireland
C Dublin,Ireland
Co of Kings,Ireland
Clonmel,Ireland
Unknown,Unknown
Armagh Co,Ireland
Queen's,Ireland
"Lisburn, Co Antrim",Ireland
?,Unknown
Donegall,Ireland
"Co Tyrone, Ireland",Ireland
"Belfast, Co Down",Ireland
"Tralee, Co Kerry",Ireland
County of Galway,Ireland
"Co Cork, E R",Ireland
Co Roscomn,Ireland
"Co Derry, Ireland",Ireland
City Londonderry,Ireland
Co Tippeary,Ireland
Co Tipprary,Ireland
C Galway,Ireland
"Bangor, Co Down",Ireland
Tralee,Ireland
C Roscommon,Ireland
"Ireland, Co Tyrone",Ireland
Donegal Co,Ireland
Mullingar,Ireland
Lisburn,Ireland
Londonderry County,Ireland
County of Limerick,Ireland
Tipp,Ireland
Carlow Co,Ireland
Clare Co,Ireland
Galway WR,Ireland
C Cavan,Ireland
Waterford Co,Ireland
"Co Mayo, Ireland",Ireland
C Kerry,Ireland
County of Kerry,Ireland
Co of Galway,Ireland
"Youghal, Co Cork",Ireland
City Limk,Ireland
"Co Armagh, Ireland",Ireland
"Dundalk, Co Louth",Ireland
"Ireland, Co Donegal",Ireland
C Monaghan,Ireland
"Tralee, Kerry",Ireland
"Cork, E R",Ireland
"Ireland, Co Galway",Ireland
Lurgan,Ireland
Co Queen's,Ireland
County of Clare,Ireland
"Glasgow, Scotland",Scotland
Limerick County,Ireland
Tyrone Co,Ireland
Co Ros,Ireland
Co of Antrim,Ireland
C Clare,Ireland
City of Kilkenny,Ireland
Fermoy,Ireland
C Mayo,Ireland
"Queenstown, Co Cork",Ireland
"Ireland, Co Mayo",Ireland
New York,United States
"Bandon, Co Cork",Ireland
Dungannon,Ireland
"Bray, Co Wicklow",Ireland
"Dromore, Co Down",Ireland
Co May,Ireland
"Ireland, Co Derry",Ireland
E,England
Norway,Norway
County L Derry,Ireland
Ballymena,Ireland
Yorkshire,England
Malta,Malta
Cavan Co,Ireland
Enniskillen,Ireland
"Arklow, Co Wicklow",Ireland
Tippreary,Ireland
"Dublin, Ireland",Ireland
"Co Antrim, Belfast",Ireland
United States,United States
Carrickfergus,Ireland
Portadown,Ireland
Bray,Ireland
Meath Co,Ireland
C Tipperary,Ireland
Isle of Man,Isle of Man
County Tip,Ireland
Roscommon Co,Ireland
Co of Dublin,Ireland
Derry Co,Ireland
"Mallow, Co Cork",Ireland
"Co Galway, Ireland",Ireland
Louth Co,Ireland
Co Tyron,Ireland
"Co Cork, E",Ireland
Co Monghan,Ireland
"Liverpool, England",England
County of Mayo,Ireland
Boyle,Ireland
"Banbridge, Co Down",Ireland
"Ballymena, Co Antrim",Ireland
Edinburgh,Scotland
Co Dongal,Ireland
"London, England",England
"Belfast, Antrim",Ireland
"Downpatrick, Co Down",Ireland
Not Known,Unknown
Co Antrin,Ireland
"Co Cork, Youghal",Ireland
Queenstown,Ireland
Switzerland,Switzerland
"Co Kerry, Ireland",Ireland
"Ireland, Co Armagh",Ireland
Italy,Italy
In Ireland,Ireland
"Holywood, Co Down",Ireland
Queen Co,Ireland
"Ireland, Co Cavan",Ireland
New Ross,Ireland
Larne,Ireland
Coy Tyrone,Ireland
Athlone,Ireland
"Ireland, Co Kerry",Ireland
"Fermoy, Co Cork",Ireland
"Rush, Co Dublin",Ireland
"Athy, Co Kildare",Ireland
C Fermanagh,Ireland
U S A,United States
"Tyrone, Ireland",Ireland
Co Killkenny,Ireland
"Co Meath, Ireland",Ireland
"Co Sligo, Ireland",Ireland
"Naas, Co Kildare",Ireland
Londonderry Co,Ireland
"Co Kildare, Ireland",Ireland
"Newry, Co Armagh",Ireland
Co King's,Ireland
Co W. Meath,Ireland
"Kilrush, Co Clare",Ireland
"Co Louth, Drogheda",Ireland
"Enniscorthy, Co Wexford",Ireland
Coy Derry,Ireland
"Co Cavan, Ireland",Ireland
City Armagh,Ireland
Dublin C,Ireland
C Louth,Ireland
"Co Louth, Ireland",Ireland
"Ireland, Co Louth",Ireland
C Meath,Ireland
"Birr, Kings Co",Ireland
"Co Cork, ER",Ireland
Down Co,Ireland
"Co Wexford, Ireland",Ireland
Limk,Ireland
Co of Kerry,Ireland
"County Down, Ireland",Ireland
Queen County,Ireland
County of Armagh,Ireland
Leitrim Co,Ireland
"Mayo, Ireland",Ireland
"Ireland, Co Sligo",Ireland
Navan,Ireland
Coy Armagh,Ireland
Queens Coy,Ireland
Co Tipperrary,Ireland
Longford Co,Ireland
"Navan, Co Meath",Ireland
Londondery,Ireland
King's,Ireland
"Kells, Co Meath",Ireland
"Belfast, County Antrim",Ireland
Tullamore,Ireland
Kent,England
"Larne, Co Antrim",Ireland
C Leitrim,Ireland
Co Roscomm,Ireland
K County,Ireland
"Co Donegal, Ireland",Ireland
Coy Dublin,Ireland
Bandon,Ireland
"Howth, Co Dublin",Ireland
King's Coy,Ireland
Sligo Town,Ireland
C Kildare,Ireland
Kilkenny County,Ireland
"Kerry, Tralee",Ireland
In Dublin,Ireland
"Ireland, Co Clare",Ireland
Roscomon,Ireland
Co Tipperory,Ireland
"Ireland, Belfast",Ireland
C Waterford,Ireland
"Coleraine, Co Derry",Ireland
Kilrush,Ireland
Co Tiperary,Ireland
C Limerick,Ireland
"Co Louth, Dundalk",Ireland
"Co Dublin, Ireland",Ireland
East India,India
South Africa,South Africa
Cashel,Ireland
Cashel City,Ireland
"Midleton, Co Cork",Ireland
King Co,Ireland
Ringsend,Ireland
Co Cork W R,Ireland
Coy Donegal,Ireland
Co Leitrin,Ireland
"Tuam, Co Galway",Ireland
Carlow Town,Ireland
Waterford County,Ireland
"Ireland, Co Dublin",Ireland
Co of Limerick,Ireland
Devonshire,England
City of Galway,Ireland
City of L Derry,Ireland
"Clonmel, Co Tipperary",Ireland
"Co Dublin, Kingstown",Ireland
County W Meath,Ireland
Gibraltar,Gibraltar
Co of Down,Ireland
New Zealand,New Zealand
"Enniskillen, Co Fermanagh",Ireland
London Derry,Ireland
C Carlow,Ireland
C Longford,Ireland
Youghal,Ireland
"Omagh, Co Tyrone",Ireland
"Ireland, Mayo",Ireland
"Ireland, County Down",Ireland
Co Rosscommon,Ireland
"Co Down, Newry",Ireland
"Co Clare, Ireland",Ireland
Co Tippry,Ireland
City of Limk,Ireland
"Belfast City, Co Antrim",Ireland
Tipprary,Ireland
C Wexford,Ireland
Coy Cork,Ireland
Banbridge,Ireland
Arklow,Ireland
Co Londondery,Ireland
"Clonmel, Co Tipp",Ireland
"Ireland, Co Wexford",Ireland
"Kent, England",England
C Belfast,Ireland
C Sligo,Ireland
Downpatrick,Ireland
"Ireland, Co Meath",Ireland
Tipperary Town,Ireland
"Kings Co, Ireland",Ireland
Kinsale,Ireland
"Yorkshire, England",England
"Comber, Co Down",Ireland
"Ireland, Co Monaghan",Ireland
C Wicklow,Ireland
"Kerry, Ireland",Ireland
"Co Armagh, Lurgan",Ireland
"Cookstown, Co Tyrone",Ireland
"Lancashire, England",England
Newtownards,Ireland
"Cork, Ireland",Ireland
County of Sligo,Ireland
Monaghan Co,Ireland
"Ireland, Kerry",Ireland
"Cashel, Co Tipp",Ireland
Athy,Ireland
"Gorey, Co Wexford",Ireland
Boulogne,Ireland
Mayo County,Ireland
"Navan, Meath",Ireland
Q C,Ireland
Co Dery,Ireland
"Scotland, Glasgow",Scotland
"Portadown, Co Armagh",Ireland
Balbriggan,Ireland
K Co,Ireland
County,Ireland
Ballinasloe,Ireland
"Ireland, Co Limerick",Ireland
County of Wexford,Ireland
"Killarney, Co Kerry",Ireland
"Nenagh, Co Tipperary",Ireland
Wexford County,Ireland
Kilkeel,Ireland
"Manchester, England",England
Kilkeny City,Ireland
Westmeath Co,Ireland
Co Belfast,Ireland
Co Fermagh,Ireland
"Tipperary, N R",Ireland
Co Monagha,Ireland
Town of Wexford,Ireland
"Tullow, Co Carlow",Ireland
Co Monagh,Ireland
Co of Armagh,Ireland
London City,England
"Midleton, Cork",Ireland
"Macroom, Co Cork",Ireland
County of Tyrone,Ireland
Co Fermanag,Ireland
Poland,Poland
"Co Monaghan, Ireland",Ireland
Co Leitrm,Ireland
Birmingham,Ireland
Co Tipprerary,Ireland
"Donaghadee, Co Down",Ireland
"Dalkey, Co Dublin",Ireland
"Ireland, Tyrone",Ireland
Coy Galway,Ireland
"Blackrock, Co Dublin",Ireland
Hampshire,Ireland
Greenock,Scotland
"Clones, Co Monaghan",Ireland
Cahirciveen,Ireland
"Galway, E R",Ireland
Bristol,England
County of Donegal,Ireland
Omagh,Ireland
"Skibbereen, Co Cork",Ireland
Wicklow County,Ireland
Co of Clare,Ireland
Tip,Ireland
"Ireland, Co Tipp",Ireland
"Ballinasloe, Co Galway",Ireland
Co Tippereary,Ireland
"Dublin City, Ireland",Ireland
Cheshire,England
Donegal County,Ireland
"Co Tipperary, N R",Ireland
Tipperary County,Ireland
West Cork,Ireland
Killarney,Ireland
"Swords, Co Dublin",Ireland
County of Limk,Ireland
Belgium,Belgium
"Lisburn, Co Down",Ireland
Coy Mayo,Ireland
Spain,Spain
"Co Antrim, Ballymena",Ireland
"Castlebar, Co Mayo",Ireland
Antrim County,Ireland
County Kilkeny,Ireland
Co Tippy N R,Ireland
Galway County,Ireland
"Ireland, Co Waterford",Ireland
Co Lim,Ireland
"Ennis, Co Clare",Ireland
"Co Tipperary, Ireland",Ireland
Sligo County,Ireland
Kildare County,Ireland
Tipperrary,Ireland
Belfast C,Ireland
"Ireland, Co Leitrim",Ireland
Co Armgh,Ireland
County of Waterford,Ireland
Templemore,Ireland
Staffordshire,England
"Ireland, County Antrim",Ireland
Aldershot,England
County Dery,Ireland
"Galway, W R",Ireland
"Ireland, Dublin",Ireland
Dromore,Ireland
County of Cavan,Ireland
"Tipperary, S R",Ireland
Cookstown,Ireland
Fermangh,Ireland
Queens C,Ireland
County of Wicklow,Ireland
City L Derry,Ireland
"Warrenpoint, Co Down",Ireland
County Donegall,Ireland
Town of Galway,Ireland
Dublin city,Ireland
"Cumberland, England",England
Comber,Ireland
Nenagh,Ireland
"Athlone, W Meath",Ireland
"Ireland, Co Kildare",Ireland
Carlow County,Ireland
"Co Antrim, Lisburn",Ireland
Middlesex,England
County of Leitrim,Ireland
"Ireland, Co Tipperary",Ireland
Co Limerik,Ireland
"Newbridge, Co Kildare",Ireland
"Skerries, Co Dublin",Ireland
"Kilkeel, Co Down",Ireland
"Ballina, Co Mayo",Ireland
Carrick on Suir,Ireland
Donaghadee,Ireland
Mallow,Ireland
Cornwall,England
Co Tipy,Ireland
"Keady, Co Armagh",Ireland
"Down, Ireland",Ireland
"Dungannon, Co Tyrone",Ireland
Clare County,Ireland
Co Rosn,Ireland
China,China
Co Leatrim,Ireland
Glasgow City,Ireland
"Co Limerick, Ireland",Ireland
King County,Ireland
"Co Tipperary, S R",Ireland
"Gilford, Co Down",Ireland
Co Galwy,Ireland
"Co Leitrim, Ireland",Ireland
"Co Kildare, Naas",Ireland
C of Dublin,Ireland
"Newcastle, Co Down",Ireland
"Co Wicklow, Ireland",Ireland
Cty Antrim,Ireland
County of Londonderry,Ireland
"Rathmines, Co Dublin",Ireland
"Clonakilty, Co Cork",Ireland
County of Tipperary,Ireland
"Portaferry, Co Down",Ireland
Tippeary,Ireland
County Kings,Ireland
"Tipperary, Ireland",Ireland
"Ireland, Co Wicklow",Ireland
"Kings County, Ireland",Ireland
Jersey,Channel Islands
City Kilkeny,Ireland
Ceylon,Ceylon
"Thurles, Co Tipperary",Ireland
Q Co,Ireland
Derry County,Ireland
Limk Co,Ireland
Quens County,Ireland
"Belfast, County Down",Ireland
Armagh County,Ireland
Roscrea,Ireland
South America,South America
South Wales,Wales
City Galway,Ireland
C Kilkenny,Ireland
West Indies,West Indies
Lanarkshire,Scotland
"Newry, County Down",Ireland
"Templemore, Co Tipperary",Ireland
"Ballinrobe, Co Mayo",Ireland
"Tipperary, W R",Ireland
Naas,Ireland
Roscomn,Ireland
Wicklow Town,Ireland
W. Meath,Ireland
"Galway, Ireland",Ireland
"Bray, Co Dublin",Ireland
"Omagh, Tyrone",Ireland
"Co Roscommon, Ireland",Ireland
Co Wat,Ireland
"Cashel, Co Tipperary",Ireland
Co Limck,Ireland
Isle of Wight,England
"Tullamore, Kings Co",Ireland
Dery City,Ireland
Conty Cork,Ireland
Enniscorthy,Ireland
County of Kilkenny,Ireland
Gorey,Ireland
United States America,United States
"County Antrim, Ireland",Ireland
Coy Tipperary,Ireland
Sweden,Sweden
"Co Down, Belfast",Ireland
Galway E R,Ireland
Essex,England
C Londonderry,Ireland
Dingle,Ireland
Shropshire,Ireland
"Co Galway, W R",Ireland
Fermanagh Co,Ireland
D City,Ireland
"Co Waterford, Ireland",Ireland
"Ireland, Co Carlow",Ireland
Austria,Austria
Conty Down,Ireland
"Wexford, Ireland",Ireland
"Ireland, Kings Co",Ireland
"New York, America",United States
Blackrock,Ireland
Holland,Netherlands
"Ireland, C Down",Ireland
New York City,United States
"Meath, Ireland",Ireland
Dongal,Ireland
Co Tipper,Ireland
"Greenock, Scotland",Scotland
"Co Carlow, Ireland",Ireland
Co Lim'k,Ireland
Cumberland,England
Clontarf,Ireland
Antrin,Ireland
Loughrea,Ireland
Co of Kilkenny,Ireland
"Co Fermanagh, Ireland",Ireland
"Clifden, Co Galway",Ireland
C of Antrim,Ireland
Portsmouth,England
"Ballyshannon, Co Donegal",Ireland
"Rathfriland, Co Down",Ireland
"Co Tipp, Ireland",Ireland
C Westmeath,Ireland
South Derry,Ireland
Quens Co,Ireland
Kerry County,Ireland
"Bessbrook, Co Armagh",Ireland
"Antrim, Belfast",Ireland
Surrey,England
"Co Cork, WR",Ireland
"County Antrim, Belfast",Ireland
County Queens,Ireland
Co Dublin City,Ireland
Egypt,Egypt
Coy Wicklow,Ireland
Co W meath,Ireland
County May,Ireland
City of London,England
Co Wex,Ireland
Leeds,England
Rush,Ireland
"Monkstown, Co Dublin",Ireland
"Queens Co, Ireland",Ireland
At Sea,At Sea
Co Monahan,Ireland
Cy Down,Ireland
"England, Liverpool",England
"Ireland, Cork",Ireland
Louth County,Ireland
Letrim,Ireland
Co Moghan,Ireland
"Co Galway, E R",Ireland
Coy Limerick,Ireland
"Sligo, Ireland",Ireland
Newbridge,Ireland
"Lucan, Co Dublin",Ireland
Queen's Coy,Ireland
North Wales,Wales
"England, London",England
Portarlington,Ireland
Co Lough,Ireland
Co of Queens,Ireland
Bermuda,West Indies
"Ireland, Co Roscommon",Ireland
"Ballymoney, Co Antrim",Ireland
County Tippery,Ireland
"Co Kerry, Killarney",Ireland
Co of Waterford,Ireland
"Callan, Co Kilkenny",Ireland
"Mullingar, Co Westmeath",Ireland
"Roscrea, Co Tipp",Ireland
County of Carlow,Ireland
Clones,Ireland
"County Armagh, Ireland",Ireland
"Essex, England",England
"England, Lancashire",England
Midleton,Ireland
Co Tipperey,Ireland
Dalkey,Ireland
"Menlo, Galway",Ireland
Thurles,Ireland
"New York, U S A",United States
"Clonmel, Co Tip",Ireland
Co Wmeath,Ireland
Wexford City,Ireland
"Nenagh, Co Tipp",Ireland
"Hampshire, England",England
Africa,Africa
"Ballycastle, Co Antrim",Ireland
Belfast city,Ireland
Rathkeale,Ireland
"County Cork, Ireland",Ireland
"Dundrum, Co Dublin",Ireland
"Ballymote, Co Sligo",Ireland
Coy Roscommon,Ireland
Co Gaway,Ireland
East Indies,East Indies
"Randalstown, Co Antrim",Ireland
Count Antrim,Ireland
"Edinburgh, Scotland",Scotland
"Carrick on Suir, Co Tipperary",Ireland
Swinford,Ireland
Dungarvan,Ireland
Leitrin,Ireland
"Co Down, Downpatrick",Ireland
Philadelphia,United States
Edenderry,Ireland
"Thurles, Co Tipp",Ireland
Couty Down,Ireland
Count Cork,Ireland
C of Cork,Ireland
Co Kildar,Ireland
Tullow,Ireland
"Ireland, Down",Ireland
County of Monaghan,Ireland
Co Killdare,Ireland
Cork E R,Ireland
"Antrim, Ireland",Ireland
Co Roscomnon,Ireland
"Innishmain, Co Galway",Ireland
Bangor,Ireland
County of Kings,Ireland
In Dublin City,Ireland
"Ireland, Clare",Ireland
Macroom,Ireland
"Cork City, Ireland",Ireland
Castlebar,Ireland
"Limavady, Co Derry",Ireland
Coy Londonderry,Ireland
County Tipperay,Ireland
"Strabane, Co Tyrone",Ireland
"Caledon, Co Tyrone",Ireland
Co of Cavan,Ireland
"Armagh, Ireland",Ireland
"Co Waterford, Lismore",Ireland
Rosscommon,Ireland
"Devonshire, England",England
Bessbrook,Ireland
"County Cork, E R",Ireland
Co Tippey,Ireland
"Ireland, County Cork",Ireland
"Balbriggan, Co Dublin",Ireland
"Tyrone, Omagh",Ireland
"Arran Island, Co Galway",Ireland
Co Londerry,Ireland
"Clara, Kings Co",Ireland
Plymouth,England
County of Meath,Ireland
Meath County,Ireland
Birkenhead,England
Co Kilkey,Ireland
"Westport, Co Mayo",Ireland
"Cootehill, Co Cavan",Ireland
Cy Antrim,Ireland
Maryboro,Ireland
Warwickshire,England
"Ireland, Dublin City",Ireland
"Norfolk, England",England
Rathmines,Ireland
"Co Antrim, Ballymoney",Ireland
Co Cork E R,Ireland
County of Roscommon,Ireland
"Co Antrim, Carrickfergus",Ireland
Tramore,Ireland
Guernsey,Channel Islands
Coy Monaghan,Ireland
"Aldershot, England",England
Co,Ireland
S D U,Ireland
Wmeath,Ireland
Co Water,Ireland
Dundrum,Ireland
Qs County,Ireland
Conty Antrim,Ireland
"Nenagh, Tipperary",Ireland
"Tramore, Co Waterford",Ireland
Cavan County,Ireland
Co of Sligo,Ireland
"Cheshire, England",England
Jamaica,West Indies
Tipperary S R,Ireland
Co Galway W R,Ireland
Queensland,Ireland
County Roscomon,Ireland
"Ireland, Queens Co",Ireland
Town of Sligo,Ireland
"Kenmare, Kerry",Ireland
"Nenagh, Co Tip",Ireland
"Meath, Navan",Ireland
Tipperay,Ireland
"Ireland, Galway",Ireland
Killkenny,Ireland
Holywood,Ireland
Co Fermang,Ireland
Co Tippary,Ireland
"Islandmagee, Co Antrim",Ireland
"Co Kilkenny, Ireland",Ireland
Co Antram,Ireland
"Maghera, Co Derry",Ireland
In Belfast,Ireland
"Hillsborough, Co Down",Ireland
"Co Kerry, Tralee",Ireland
Kings C,Ireland
County Antrin,Ireland
"Cloyne, Co Cork",Ireland
Co Mon,Ireland
Co Tipperry,Ireland
"Kilkee, Co Clare",Ireland
Roscom,Ireland
"Belfast, C Antrim",Ireland
Co of Tipperary,Ireland
Limavady,Ireland
Cork W K,Ireland
Co Waterfd,Ireland
Sheffield,England
"Coleraine, Co Londonderry",Ireland
"Passage West, Co Cork",Ireland
County D,Ireland
"Carrickmacross, Co Monaghan",Ireland
Co Tipperary NR,Ireland
Tiperary,Ireland
"Ireland, Co Kilkenny",Ireland
"Boston, U S A",United States
"Kilskier, Meath",Ireland
Co Cavin,Ireland
"Clontarf, Co Dublin",Ireland
Tyrone County,Ireland
"Devon, England",England
Co Slig,Ireland
"Middlesex, England",England
Coy Carlow,Ireland
"Lismore, Co Waterford",Ireland
C Donegall,Ireland
"Surrey, England",England
Co Leitrum,Ireland
Killkenny Co,Ireland
"City of Cork, Ireland",Ireland
"Ballygowan, Co Down",Ireland
"Glenarm, Co Antrim",Ireland
In America,United States
"Ireland, Co Fermanagh",Ireland
"Ireland, Donegal",Ireland
County West Meath,Ireland
Salop,England
Denmark,Denmark
Tuam,Ireland
Cty Derry,Ireland
"Ardee, Co Louth",Ireland
"Carlingford, Co Louth",Ireland
Co Tippreay,Ireland
Dublin Ireland,Ireland
"Dingle, Co Kerry",Ireland
Howth,Ireland
Coy Clare,Ireland
Co Kerry Ireland,Ireland
Co Kilkenney,Ireland
C of Carlow,Ireland
"Co Down, Newtownards",Ireland
County of Derry,Ireland
"Listowel, Co Kerry",Ireland
"Blackrock, Co Cork",Ireland
"Co Armagh, Portadown",Ireland
Co Limerck,Ireland
Co Fermana,Ireland
Coy Kilkenny,Ireland
"Co Mayo, Castlebar",Ireland
"Donegal, Ireland",Ireland
Tyron,Ireland
"Belfast City, Ireland",Ireland
County Tipprary,Ireland
Dublin Cy,Ireland
"Boyle, Co Roscommon",Ireland
"Trim, Co Meath",Ireland
"Drogheda, Louth",Ireland
County Tippreary,Ireland
Chester,England
"Baltinglass, Co Wicklow",Ireland
City of Glasgow,Scotland
"Ireland, Co Tip",Ireland
"Portrush, Co Antrim",Ireland
"Clare, Ireland",Ireland
Lismore,Ireland
Cork C,Ireland
"Crosshaven, Co Cork",Ireland
Kells,Ireland
Birr,Ireland
Portrush,Ireland
Queens Couty,Ireland
Cloyne,Ireland
Southampton,England
Ballina,Ireland
Co Cork E,Ireland
Co Lmk,Ireland
In Co Cork,Ireland
Co Armag,Ireland
"Oughterard, Co Galway",Ireland
"Dungarvan, Co Waterford",Ireland
"Celbridge, Co Kildare",Ireland
Ayrshire,Scotland
Co City,Ireland
"Bristol, England",England
Thomastown,Ireland
Cty Down,Ireland
City Antrim,Ireland
Coy Waterford,Ireland
"Co Tyrone, Cookstown",Ireland
County of Kildare,Ireland
Ennis,Ireland
"City Cork, Ireland",Ireland
C W Meath,Ireland
In Kerry,Ireland
Caherciveen,Ireland
"Fermanagh, Ireland",Ireland
"Moville, Co Donegal",Ireland
"Ayrshire, Scotland",Ireland
"Co Tyrone, Omagh",Ireland
Ballymoney,Ireland
"C Fergus, Co Antrim",Ireland
"In Ireland, Co Down",Ireland
"Co Down, Dromore",Ireland
Abbeyleix,Ireland
County Tyron,Ireland
"Athlone, Co Westmeath",Ireland
"Co Tip, Ireland",Ireland
Couty Derry,Ireland
Barrow in Furness,Scotland
Cy Dublin,Ireland
Co Tippeay,Ireland
Co Watfd,Ireland
Co Caven,Ireland
Tipp Co,Ireland
"Fethard, Co Tip",Ireland
"Athboy, Co Meath",Ireland
Norfolk,England
"Ireland, Armagh",Ireland
Sussex,England
Cou Cork,Ireland
Derbyshire,England
"Co Down, Banbridge",Ireland
"Co Longford, Ireland",Ireland
"Ballinderry, Co Antrim",Ireland
Strabane,Ireland
"Dundee, Scotland",Scotland
"Portlaw, Co Waterford",Ireland
"Cashel, Co Tip",Ireland
Kilkee,Ireland
"Aberdeen, Scotland",Scotland
"Wexford, Co Wexford",Ireland
Limerick Union,Ireland
Kenmare,Ireland
Malahide,Ireland
"Saintfield, Co Down",Ireland
County Tippy,Ireland
Tippereary,Ireland
"Crossmaglen, Co Armagh",Ireland
"Lurgan, Armagh",Ireland
Rathfriland,Ireland
"Belfast City, Antrim",Ireland
"Newry, Down",Ireland
Tipperary NR,Ireland
"Bantry, Co Cork",Ireland
"Limerick, Ireland",Ireland
